kpi,plan_2025,actual_2025,notes
unit_sales_glasses_m,~9.5,9.5,Plan stated as "around 9.5m"
total_consolidated_sales_eur_bn,~2.5 (implying ~8pct growth),2.44 (7.4pct growth),Plan stated as "nearly EUR 2.5bn increase of ~8pct"
adjusted_ebitda_eur_m,~580,580.6,Plan stated as "range of around EUR 580m"
adjusted_ebitda_margin_pct,~24,23.8,
adjusted_ebt_eur_m,~270,312.5,Actual beat plan by ~EUR 42.5m
adjusted_ebt_margin_pct,improving at similar rate as prior years (qualitative),+2.2pp YoY,
customer_satisfaction_pct,>90,91,
total_investments_eur_m,156.0,117.0,Actual came in well under planned investment
