year,total_consolidated_sales_eur_m,adjusted_ebitda_eur_m,adjusted_ebitda_margin_pct,ebitda_eur_m,adjusted_ebt_eur_m,adjusted_ebt_margin_pct,ebt_eur_m,net_income_eur_m,unit_sales_glasses_thousands,number_of_stores,avg_employees
2021,1678.2,,,396.1,,,209.7,144.6,8291,913,21822
2022,1759.0,,,339.5,,,160.4,109.7,8582,968,22136
2023,1970.9,398.5,20.2,401.0,192.8,9.8,189.6,127.8,8891,1086,22974
2024,2266.9,491.9,21.7,471.1,240.1,10.6,219.4,154.5,9286,1240,23716
2025,2435.3,580.6,23.8,559.8,312.5,12.8,291.7,205.5,9467,1262,23807
